source,source_job_id,job_title,company,location,location_area,searched_location,latitude,longitude,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,description,created,redirect_url,profession_category,search_term
Adzuna,5840224555,Business Development Executive - Software Sales ( ZOHO),Linz Technologies,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",chennai,13.06041,80.24963,,,0,,,Sales Jobs,"The ideal candidate will have experience in all stages of the sales cycle. They should be confident with building new client relationship and maintaining existing ones. They should have evidence of strong skills and possess good negotiation skills. Job Description :i. Accountable for the sales of ZOHO Software Applications (CRM, Helpdesk, Campaigns, HRMS, ERP) .ii. Conduct both Online and Face-to-Face Meetings with clients and potential prospects .iii. Proficiency in presentation skills is esse…",2026-08-13T16:19:00Z,https://www.adzuna.in/land/ad/5840224555?se=DKwoPkGd8RG4LJqL2Sbncg&utm_medium=api&utm_source=10d03a1b&v=3FC3E577D239E3B47890154055707131B02297FC,IT & Software,software developer
Adzuna,4378377552,software developer,Bankbazaar.com,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",chennai,13.06041,80.24963,200000.0,300000.0,0,,full_time,IT Jobs,"A software developer's job description may vary depending on the organization and specific project, but generally, it includes: Bachelor's degree in computer science, software engineering, or a related field (sometimes, relevant experience can substitute for formal education). Proficiency in one or more programming languages and related technologies. Strong problem-solving skills and attention to detail. Knowledge of software development methodologies (e.g., Agile, Scrum). Familiarity with soft…",2023-10-18T13:48:30Z,https://www.adzuna.in/details/4378377552?utm_medium=api&utm_source=10d03a1b,IT & Software,software developer
Adzuna,2290460980,Software Developer,BUDDIAI,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",chennai,13.06041,80.24963,0.0,1500000.0,0,,full_time,IT Jobs,"Job description We are looking for a passionate Software Development Engineer to develop, test, maintain and document program code in accordance with user requirements and system technical specifications. As a Software Development Engineer, you will work with other Developers and Product Managers throughout the software development life cycle. Software Development Engineer responsibilities include analysing requirements, define system functionality and writing code in the companys current techn…",2021-06-30T21:16:14Z,https://www.adzuna.in/details/2290460980?utm_medium=api&utm_source=10d03a1b,IT & Software,software developer
Adzuna,1171508859,Software Developer,GBIT India Pvt Lyd,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",chennai,13.06041,80.24963,7000.0,70000.0,0,,full_time,IT Jobs,We are product development company. We are looking for an adept Software Developer. You will develop top-notch software that work across platforms and is scalable. ● Write new programs with clean and testable codes that will integrate the existing software systems. ● Perform maintenance activities for new and existing programs. ● Upgrade systems to adapt to new business requirements. ● Review current systems to correct errors within the existing program. ● Conduct pilot tests to assess the func…,2019-06-05T21:12:21Z,https://www.adzuna.in/details/1171508859?utm_medium=api&utm_source=10d03a1b,IT & Software,software developer
Adzuna,1171508858,Software Developer,GBIT India Pvt Lyd,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",chennai,13.06041,80.24963,7000.0,70000.0,0,,full_time,IT Jobs,We are product development company. We are looking for an adept Software Developer. You will develop top-notch software that work across platforms and is scalable. ● Write new programs with clean and testable codes that will integrate the existing software systems. ● Perform maintenance activities for new and existing programs. ● Upgrade systems to adapt to new business requirements. ● Review current systems to correct errors within the existing program. ● Conduct pilot tests to assess the func…,2019-06-05T21:12:21Z,https://www.adzuna.in/details/1171508858?utm_medium=api&utm_source=10d03a1b,IT & Software,software developer
Adzuna,1936017305,Software Developer,IMPACTREE DATA TECHNOLOGIES,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",chennai,13.06041,80.24963,0.0,360000.0,0,,full_time,IT Jobs,"Impactree Data Technologies is a young social enterprise working to support social organisations scale development programmes using technology of data monitoring and analytics on a real time basis. Impactree specifically works at building data intellegence for two specific sectors - rural livelihoods and education. Our team consists of members qualified from London Business School, IIM Khozikode, ICAI, Anna University etc. We are an upcoming profitable social enterprise and as a a part of the t…",2021-01-15T03:33:48Z,https://www.adzuna.in/details/1936017305?utm_medium=api&utm_source=10d03a1b,IT & Software,software developer
Adzuna,3949356939,Software developer,People First Consultants,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",chennai,13.06041,80.24963,300000.0,1500000.0,0,,full_time,IT Jobs,"Greetings, We are hiring for Tier 1 MNC for the software developer with good knowledge in Spark,Hadoop and Scala Skills:- Spark, Hadoop and Scala",2023-03-01T01:41:46Z,https://www.adzuna.in/details/3949356939?utm_medium=api&utm_source=10d03a1b,IT & Software,software developer
Adzuna,5778430968,Software Developer,CBTS Technology Solutions India LLP,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",chennai,13.06041,80.24963,,,0,,,IT Jobs,"CBTS serves enterprise and midmarket clients in all industries across the United States and Canada. CBTS combines deep technical expertise with a full suite of flexible technology solutionsincluding Application Modernization, Managed Hybrid Cloud, Cybersecurity, Unified Communications, and Infrastructure solutions. From developing and deploying modern applications and the secure, scalable platforms on which they run, to managing, monitoring, and optimizing their operations, CBTS delivers compre…",2026-06-27T07:13:27Z,https://www.adzuna.in/details/5778430968?utm_medium=api&utm_source=10d03a1b,IT & Software,software developer
Adzuna,5811351288,Software Developer,WPP,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",chennai,13.06041,80.24963,,,0,permanent,,IT Jobs,"WPP is the trusted growth partner for the world’s leading brands. We unite cutting-edge media intelligence and data solutions, world-class creativity, next-generation production, transformative enterprise solutions and expert strategic counsel in a single company – powered by exceptional talent and our agentic marketing platform, WPP Open, to help our clients navigate change, capture opportunity and deliver transformational growth. We work with the world's most valuable brands and have global r…",2026-07-23T03:22:26Z,https://www.adzuna.in/details/5811351288?utm_medium=api&utm_source=10d03a1b,IT & Software,software developer
Adzuna,5844408624,Software Developer,WPP,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",chennai,13.06041,80.24963,,,0,permanent,full_time,IT Jobs,"WPP is the trusted growth partner for the world’s leading brands. We unite cutting-edge media intelligence and data solutions, world-class creativity, next-generation production, transformative enterprise solutions and expert strategic counsel in a single company – powered by exceptional talent and our agentic marketing platform, WPP Open, to help our clients navigate change, capture opportunity and deliver transformational growth. We work with the world's most valuable brands and have global r…",2026-08-16T21:54:42Z,https://www.adzuna.in/details/5844408624?utm_medium=api&utm_source=10d03a1b,IT & Software,software developer
