source,source_job_id,job_title,company,location,location_area,searched_location,latitude,longitude,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,category_tag,description,created,redirect_url,company_address,location_display,coordinates_source,geocoded_display_name,location_status,distance_available
Adzuna,5825072254,"AVP/VP - Principal, Governance, Risk & Compliance (India based)",Spot Your Leaders & Consulting,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,12.9767936,77.590082,,,0,,,Sales Jobs,sales-jobs,"Job description Job Summary: Who are we looking for? A seasoned Solutions Professional with proven success of 20 years working with multi-disciplinary teams to provide comprehensive presales, solutions and analyst capabilities to the BFSI industry, focusing primarily on the USA and Europe. With the intent to design and deliver innovative Governance, Risk & Compliance (GRC) solutions with a strong awareness of solutioning with AI for leading banking and financial services clients. A change agent…",2026-08-02T07:33:40Z,https://www.adzuna.in/land/ad/5825072254?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=D7727D2B7B834A0A3CA83F3583D053E2F27807A1,"India, Karnataka, Bangalore","Bangalore, Karnataka",OpenStreetMap geocoding,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",Coordinates geocoded from job location,True
Adzuna,5820963869,Account Executive,TrueFoundry,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Sales Jobs,sales-jobs,"About TrueFoundry Every production AI system whether it's powering customer support, writing code, analyzing financial data, or diagnosing medical conditions needs the same foundational infrastructure.A way to route between models. A way to manage tools and integrate them securely. A way to orchestrate agents and enforce governance. A unified compute layer to run it all. That infrastructure layer is being built right now. We are looking for an Account Executive (Focus on Enterprise Sales) to jo…",2026-07-30T15:25:31Z,https://www.adzuna.in/land/ad/5820963869?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=3E07C0569E61517E30CC87B6A9224BD82AC99604,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5831966402,Accounts Payable,MSI Services Pvt Ltd,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Accounting & Finance Jobs,accounting-finance-jobs,Process Associate – Accounts Payable 1. Check all invoices for proper documentation and make an agreement prior to payment. 2. Classify and match invoices and check requests. 3. Set invoices up for payment. 4. Deal with check requests. 5. Prioritize invoices in accordance with the probability of cash discounts as well as other terms of payment. 6. Audit and deal with credit card bills. 7. Audit and deal with credit card bills. 8. Classify and match invoices and check requests. 9. Set invoices u…,2026-08-07T17:56:29Z,https://www.adzuna.in/land/ad/5831966402?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=C6E0B98A50C6AF0EAFAFBCA35EBF55422651EE35,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5820906243,"Analyst II, HRBP",Kraft Heinz,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,12.95703,77.59837,,,0,,full_time,HR & Recruitment Jobs,hr-jobs,"This job is with Kraft Heinz, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Help develop, implement, support, and review all human resources department initiatives, policies, procedures, and systems, which could involve continued involvement in and refinement of the recruitment process, including generating job descriptions, posting advertisements, and managing the hiring process. Culti…",2026-07-30T13:53:20Z,https://www.adzuna.in/land/ad/5820906243?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=A6A9C8ADBACB7902D87F5DD714080FE206935060,"India, Karnataka, Bangalore","Bangalore, Karnataka",Adzuna,,Coordinates from Adzuna,True
Adzuna,5801403890,Business Development Executive,RAC IT Solutions,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Sales Jobs,sales-jobs,"Hey, RAC IT Solutions is Hiring Job Title: Executive / Sr. Executive – Business Development Location: HSR Layout Salary: ₹5,00,000 – ₹8,00,000 CTC per annum The ideal candidate will lead initiatives to generate and engage with business partners to build new business for the company. This candidate will be focused and have strong communication skills. They should be able to think critically when making plans and have a demonstrated ability to execute a particular strategy. Responsibilities Ident…",2026-07-15T22:28:14Z,https://www.adzuna.in/land/ad/5801403890?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=4660E44292294C870C61917CD9528938FB66EF0B,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5801400190,Business Development Executive .,Airtribe,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,full_time,Sales Jobs,sales-jobs,"Business Development Executive Location: Bangalore (On-site) Type: Full-time ⸻ About Airtribe We’re building an AI-first upskilling platform for working professionals. From product managers to backend engineers, our programs are deeply integrated with AI tools, hands-on projects, and real-world use cases to prepare learners for the future of work. We don’t just teach AI—we embed it into every program. With live, workshop-style sessions led by experts from top companies like Microsoft, Meta, Raz…",2026-07-15T22:27:19Z,https://www.adzuna.in/land/ad/5801400190?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=AEF47F09CE360C0E82EA1EF6A3B931A4BF3CDB90,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5818524649,Business Development Manager,"Acara Solutions India, An Aleron Company","Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,permanent,,HR & Recruitment Jobs,hr-jobs,"Hiring: Manager – Sales (Recruitment & Staffing) Location : Bangalore, Hyderabad Open Positions : 2 We are looking to onboard seasoned sales professionals with 3 to 5 years o f proven experience in Recruitment & Staffing services sal es in the Indian market. The positions are open a t Manage r an d Asst Manag er levels, depending on experience and proven capability. Key Requirements: Proven experience in selling recruitment and staffing services such as: Permanent staffing Contract staffing RPO…",2026-07-28T21:18:46Z,https://www.adzuna.in/land/ad/5818524649?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=0B7B952591945AC2EA128E0AFA143F7822B083CC,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5813877969,Business Development Manager - US,illumine,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Sales Jobs,sales-jobs,"Job Title: Business Development Representative (BDR) – USA Market About Us: We are a leading SaaS company revolutionizing the childcare software industry with our innovative solutions. Our software is used by preschools, childcare centers, and enterprise childcare chains worldwide. We are looking for a dynamic Business Development Representative (BDR) to expand our presence in the USA market. Key Responsibilities: Lead Generation & Outreach: Identify and engage with potential clients in the USA…",2026-07-24T19:01:10Z,https://www.adzuna.in/land/ad/5813877969?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=20503CDE36DD1401BFFDD8BF675B988610A77920,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5785771868,Consultant Copywriter,WPP Production,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,12.95703,77.59837,,,0,,full_time,"PR, Advertising & Marketing Jobs",pr-advertising-marketing-jobs,"This job is with WPP Production, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About WPP Production We are WPP Production - the unified global production company that brings together all of WPP's content producers, studios and craft experts into one connected organisation. We combine world-class human craft with next generation technology to originate, design, and deliver multi-channel …",2026-07-03T00:54:20Z,https://www.adzuna.in/land/ad/5785771868?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=AD2CE66DE5CDBCDFEB8764F7C2EAE2B5F98BAD18,"India, Karnataka, Bangalore","Bangalore, Karnataka",Adzuna,,Coordinates from Adzuna,True
Adzuna,5823898096,Customer Service Representative,Alorica,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Customer Services Jobs,customer-services-jobs,"Job Overview We are looking for enthusiastic and customer-focused professionals to join our Healthcare and Electronic Retail Customer Service team. The role involves assisting customers with product, service, policy, order, and claim-related queries while delivering an exceptional customer experience through voice. Location: Bellandur, Kengeri & Bhartiya City 5 Days Working & 2 Days Off (Rotational) Job Responsibilities Handle customer queries exclusively through voice calls. Provide accurate i…",2026-08-01T17:33:25Z,https://www.adzuna.in/land/ad/5823898096?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=A6046698E1897C774A3C61979CEA45CF5AD6AC85,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
