job_id,job_title,company,location,skills,salary,employment_type,experience_text,experience_years,job_text,skills_clean,job_text_clean,esco_skills,esco_skill_ids,matched_skill_count,original_skill_count,skill_match_percentage,matching_text
1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)","MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)","₹ 5,04,000 - 7,10,000 /year",,0 year(s),0.0,"Calipers Consulting Private Limited Secunderabad, Hyderabad (Hybrid) MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written) 0 year(s)","ms-office, ms-exceldata entryenglish proficiency (spoken)english proficiency (written)","calipers consulting private limited secunderabad, hyderabad (hybrid) ms-office, ms-exceldata entryenglish proficiency (spoken)english proficiency (written) 0 year(s)",english; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,2,2,100.0,"calipers consulting private limited secunderabad, hyderabad (hybrid) ms-office, ms-exceldata entryenglish proficiency (spoken)english proficiency (written) english; r"
2,,Gruhatara Estates,Bangalore,"NegotiationDigital Marketing, Market researchMarketing Strategies","₹ 6,00,000 - 13,00,000 /year",,1 year(s),1.0,"Gruhatara Estates Bangalore NegotiationDigital Marketing, Market researchMarketing Strategies 1 year(s)","negotiationdigital marketing, market researchmarketing strategies","gruhatara estates bangalore negotiationdigital marketing, market researchmarketing strategies 1 year(s)",market research; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/8770350e-746f-4adb-9556-18ca68104be6,2,2,100.0,"gruhatara estates bangalore negotiationdigital marketing, market researchmarketing strategies market research; r"
3,,Modtraa Design And Creation Incorporation,Bangalore,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication","₹ 5,50,000 - 11,00,000 /year",,0 year(s),0.0,"Modtraa Design And Creation Incorporation Bangalore Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication 0 year(s)","presentation skillsms-excel, english proficiency (spoken)english proficiency (written)kannada proficiency (spoken)interpersonal skillseffective communication","modtraa design and creation incorporation bangalore presentation skillsms-excel, english proficiency (spoken)english proficiency (written)kannada proficiency (spoken)interpersonal skillseffective communication 0 year(s)",communication; english; r; ski,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0; http://data.europa.eu/esco/skill/a9ae583b-176c-4774-afcf-3f541400a1fd,4,2,200.0,"modtraa design and creation incorporation bangalore presentation skillsms-excel, english proficiency (spoken)english proficiency (written)kannada proficiency (spoken)interpersonal skillseffective communication communication; english; r; ski"
4,,CCL Advisors,Mumbai,Legal ResearchCompany LawLegal DraftingStatutory compliancesLegal WritingContract Management,"₹ 8,00,000 - 10,00,000 /year",,1 year(s),1.0,CCL Advisors Mumbai Legal ResearchCompany LawLegal DraftingStatutory compliancesLegal WritingContract Management 1 year(s),legal researchcompany lawlegal draftingstatutory complianceslegal writingcontract management,ccl advisors mumbai legal researchcompany lawlegal draftingstatutory complianceslegal writingcontract management 1 year(s),legal research; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/a8585efe-4011-47b2-9aed-cd01bd3652c0,2,1,200.0,ccl advisors mumbai legal researchcompany lawlegal draftingstatutory complianceslegal writingcontract management legal research; r
5,,SREEDHARA ENTERPRISES,Bangalore,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)","₹ 5,00,000 /year",,1 year(s),1.0,"SREEDHARA ENTERPRISES Bangalore MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written) 1 year(s)","ms-officeaccountingtallyms-excel, english proficiency (spoken)english proficiency (written)","sreedhara enterprises bangalore ms-officeaccountingtallyms-excel, english proficiency (spoken)english proficiency (written) 1 year(s)",accounting; english; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0; http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,3,2,150.0,"sreedhara enterprises bangalore ms-officeaccountingtallyms-excel, english proficiency (spoken)english proficiency (written) accounting; english; r"
6,,Godrej Capital,"Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik",MS-OfficeMS-PowerPointMS-ExcelEffective Communication,"₹ 4,00,000 /year",,0 year(s),0.0,"Godrej Capital Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik MS-OfficeMS-PowerPointMS-ExcelEffective Communication 0 year(s)",ms-officems-powerpointms-exceleffective communication,"godrej capital ahmedabad, mehsana, pune, gandhidham, vapi, ahmednagar, vadodara, mumbai, nashik ms-officems-powerpointms-exceleffective communication 0 year(s)",communication; r,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,2,1,200.0,"godrej capital ahmedabad, mehsana, pune, gandhidham, vapi, ahmednagar, vadodara, mumbai, nashik ms-officems-powerpointms-exceleffective communication communication; r"
7,,Leafoberryy,Mumbai,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more,"₹ 7,00,000 - 9,60,000 /year",,1 year(s),1.0,Leafoberryy Mumbai LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more 1 year(s),leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,leafoberryy mumbai leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more 1 year(s),communication; data analytics; r,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,3,1,300.0,leafoberryy mumbai leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more communication; data analytics; r
8,,YES Italy Edutech Pvt. Ltd.,"Delhi, Mumbai",Lead GenerationSales ManagementEnglish Proficiency (Spoken)Sales,"₹ 4,00,000 - 10,50,000 /year",,1 year(s),1.0,"YES Italy Edutech Pvt. Ltd. Delhi, Mumbai Lead GenerationSales ManagementEnglish Proficiency (Spoken)Sales 1 year(s)",lead generationsales managementenglish proficiency (spoken)sales,"yes italy edutech pvt. ltd. delhi, mumbai lead generationsales managementenglish proficiency (spoken)sales 1 year(s)",english; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,2,1,200.0,"yes italy edutech pvt. ltd. delhi, mumbai lead generationsales managementenglish proficiency (spoken)sales english; r"
9,,Internshala,Gurgaon,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication,"₹ 6,60,000 - 7,00,000 /year",,1 year(s),1.0,Internshala Gurgaon NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication 1 year(s),negotiationproblem solvingenglish proficiency (spoken)saleseffective communication,internshala gurgaon negotiationproblem solvingenglish proficiency (spoken)saleseffective communication 1 year(s),communication; english; r,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,3,1,300.0,internshala gurgaon negotiationproblem solvingenglish proficiency (spoken)saleseffective communication communication; english; r
10,,Internshala,Gurgaon,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication,"₹ 6,60,000 - 8,00,000 /year",,1 year(s),1.0,Internshala Gurgaon NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication 1 year(s),negotiationproblem solvingenglish proficiency (spoken)saleseffective communication,internshala gurgaon negotiationproblem solvingenglish proficiency (spoken)saleseffective communication 1 year(s),communication; english; r,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,3,1,300.0,internshala gurgaon negotiationproblem solvingenglish proficiency (spoken)saleseffective communication communication; english; r
