job_id,job_title,company,location,skills,salary,employment_type,experience_text,experience_years,job_text
1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)","MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)","₹ 5,04,000 - 7,10,000 /year",,0 year(s),0.0,"Calipers Consulting Private Limited Secunderabad, Hyderabad (Hybrid) MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written) 0 year(s)"
2,,Gruhatara Estates,Bangalore,"NegotiationDigital Marketing, Market researchMarketing Strategies","₹ 6,00,000 - 13,00,000 /year",,1 year(s),1.0,"Gruhatara Estates Bangalore NegotiationDigital Marketing, Market researchMarketing Strategies 1 year(s)"
3,,Modtraa Design And Creation Incorporation,Bangalore,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication","₹ 5,50,000 - 11,00,000 /year",,0 year(s),0.0,"Modtraa Design And Creation Incorporation Bangalore Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication 0 year(s)"
4,,CCL Advisors,Mumbai,Legal ResearchCompany LawLegal DraftingStatutory compliancesLegal WritingContract Management,"₹ 8,00,000 - 10,00,000 /year",,1 year(s),1.0,CCL Advisors Mumbai Legal ResearchCompany LawLegal DraftingStatutory compliancesLegal WritingContract Management 1 year(s)
5,,SREEDHARA ENTERPRISES,Bangalore,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)","₹ 5,00,000 /year",,1 year(s),1.0,"SREEDHARA ENTERPRISES Bangalore MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written) 1 year(s)"
6,,Godrej Capital,"Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik",MS-OfficeMS-PowerPointMS-ExcelEffective Communication,"₹ 4,00,000 /year",,0 year(s),0.0,"Godrej Capital Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik MS-OfficeMS-PowerPointMS-ExcelEffective Communication 0 year(s)"
7,,Leafoberryy,Mumbai,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more,"₹ 7,00,000 - 9,60,000 /year",,1 year(s),1.0,Leafoberryy Mumbai LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more 1 year(s)
8,,YES Italy Edutech Pvt. Ltd.,"Delhi, Mumbai",Lead GenerationSales ManagementEnglish Proficiency (Spoken)Sales,"₹ 4,00,000 - 10,50,000 /year",,1 year(s),1.0,"YES Italy Edutech Pvt. Ltd. Delhi, Mumbai Lead GenerationSales ManagementEnglish Proficiency (Spoken)Sales 1 year(s)"
9,,Internshala,Gurgaon,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication,"₹ 6,60,000 - 7,00,000 /year",,1 year(s),1.0,Internshala Gurgaon NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication 1 year(s)
10,,Internshala,Gurgaon,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication,"₹ 6,60,000 - 8,00,000 /year",,1 year(s),1.0,Internshala Gurgaon NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication 1 year(s)
