job_id,job_title,company,location,address,latitude,longitude,skills,salary,employment_type,experience_years,community_need,local_job
LOC0001,Data Entry Operator,Community DataEntryOperator Services,Chennai,"Anna Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,"MS Excel, MS Office, Data Entry, English Communication","₹15,000 - ₹22,000",Full-time,0,Local employment opportunity,True
LOC0002,Computer Operator,Local ComputerOperator Solutions,Chennai,"T Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,"MS Office, Excel, Computer Operations, Communication","₹16,000 - ₹24,000",Full-time,0,Local employment opportunity,True
LOC0003,Customer Support Executive,City CustomerSupportExecutive Center,Chennai,"Adyar, Chennai, Tamil Nadu, India",13.0827,80.2707,"Communication, Customer Service, English, Problem Solving","₹18,000 - ₹28,000",Full-time,0,Local employment opportunity,True
LOC0004,Sales Executive,Regional SalesExecutive Technologies,Chennai,"Velachery, Chennai, Tamil Nadu, India",13.0827,80.2707,"Sales, Communication, Customer Service, Negotiation","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0005,Office Assistant,SkillBridge OfficeAssistant Business Hub,Chennai,"Guindy, Chennai, Tamil Nadu, India",13.0827,80.2707,"MS Office, Excel, Data Entry, Communication","₹15,000 - ₹23,000",Full-time,0,Local employment opportunity,True
LOC0006,Account Assistant,Community AccountAssistant Employment Services,Chennai,"Anna Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,"Accounting, Tally, Excel, MS Office","₹20,000 - ₹32,000",Full-time,1,Local employment opportunity,True
LOC0007,Junior Accountant,Local JuniorAccountant Services,Chennai,"T Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,"Accounting, Tally, GST, Excel, Bookkeeping","₹22,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0008,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Chennai,"Adyar, Chennai, Tamil Nadu, India",13.0827,80.2707,"Digital Marketing, SEO, Social Media, Communication, Content Writing","₹20,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0009,Teacher,Regional Teacher Center,Chennai,"Velachery, Chennai, Tamil Nadu, India",13.0827,80.2707,"Teaching, Communication, Mathematics, Classroom Management","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0010,IT Support Technician,SkillBridge ITSupportTechnician Technologies,Chennai,"Guindy, Chennai, Tamil Nadu, India",13.0827,80.2707,"Computer Hardware, Networking, Troubleshooting, Windows","₹22,000 - ₹38,000",Full-time,1,Local employment opportunity,True
LOC0011,Python Developer,Community PythonDeveloper Business Hub,Chennai,"Anna Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,"Python, SQL, Flask, Git, Communication","₹30,000 - ₹60,000",Full-time,1,Local employment opportunity,True
LOC0012,Web Developer,Local WebDeveloper Employment Services,Chennai,"T Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,"HTML, CSS, JavaScript, React, Git","₹25,000 - ₹50,000",Full-time,1,Local employment opportunity,True
LOC0013,Graphic Designer,City GraphicDesigner Services,Chennai,"Adyar, Chennai, Tamil Nadu, India",13.0827,80.2707,"Graphic Design, Photoshop, Illustrator, Creativity","₹20,000 - ₹40,000",Full-time,1,Local employment opportunity,True
LOC0014,Data Entry Operator,Community DataEntryOperator Services,Madurai,"Anna Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,"MS Excel, MS Office, Data Entry, English Communication","₹15,000 - ₹22,000",Full-time,0,Local employment opportunity,True
LOC0015,Computer Operator,Local ComputerOperator Solutions,Madurai,"KK Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,"MS Office, Excel, Computer Operations, Communication","₹16,000 - ₹24,000",Full-time,0,Local employment opportunity,True
LOC0016,Customer Support Executive,City CustomerSupportExecutive Center,Madurai,"Mattuthavani, Madurai, Tamil Nadu, India",9.9252,78.1198,"Communication, Customer Service, English, Problem Solving","₹18,000 - ₹28,000",Full-time,0,Local employment opportunity,True
LOC0017,Sales Executive,Regional SalesExecutive Technologies,Madurai,"Tallakulam, Madurai, Tamil Nadu, India",9.9252,78.1198,"Sales, Communication, Customer Service, Negotiation","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0018,Office Assistant,SkillBridge OfficeAssistant Business Hub,Madurai,"Simmakkal, Madurai, Tamil Nadu, India",9.9252,78.1198,"MS Office, Excel, Data Entry, Communication","₹15,000 - ₹23,000",Full-time,0,Local employment opportunity,True
LOC0019,Account Assistant,Community AccountAssistant Employment Services,Madurai,"Anna Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,"Accounting, Tally, Excel, MS Office","₹20,000 - ₹32,000",Full-time,1,Local employment opportunity,True
LOC0020,Junior Accountant,Local JuniorAccountant Services,Madurai,"KK Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,"Accounting, Tally, GST, Excel, Bookkeeping","₹22,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0021,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Madurai,"Mattuthavani, Madurai, Tamil Nadu, India",9.9252,78.1198,"Digital Marketing, SEO, Social Media, Communication, Content Writing","₹20,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0022,Teacher,Regional Teacher Center,Madurai,"Tallakulam, Madurai, Tamil Nadu, India",9.9252,78.1198,"Teaching, Communication, Mathematics, Classroom Management","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0023,IT Support Technician,SkillBridge ITSupportTechnician Technologies,Madurai,"Simmakkal, Madurai, Tamil Nadu, India",9.9252,78.1198,"Computer Hardware, Networking, Troubleshooting, Windows","₹22,000 - ₹38,000",Full-time,1,Local employment opportunity,True
LOC0024,Python Developer,Community PythonDeveloper Business Hub,Madurai,"Anna Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,"Python, SQL, Flask, Git, Communication","₹30,000 - ₹60,000",Full-time,1,Local employment opportunity,True
LOC0025,Web Developer,Local WebDeveloper Employment Services,Madurai,"KK Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,"HTML, CSS, JavaScript, React, Git","₹25,000 - ₹50,000",Full-time,1,Local employment opportunity,True
LOC0026,Graphic Designer,City GraphicDesigner Services,Madurai,"Mattuthavani, Madurai, Tamil Nadu, India",9.9252,78.1198,"Graphic Design, Photoshop, Illustrator, Creativity","₹20,000 - ₹40,000",Full-time,1,Local employment opportunity,True
