job_id,job_title,company,location,address,latitude,longitude,distance_km,distance_category,skill_match,location_score,final_score,recommendation,matched_skills,match_types,salary,employment_type,experience_years
LOC0015,Computer Operator,Local ComputerOperator Solutions,Madurai,"KK Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,0.0,Very Nearby,65.0,15.0,80.0,Recommended,office administration → ms office; office administration → excel; office administration → computer operations; customer service → communication; telugu → communication; hindi → communication,related; related; related; related; related; related,"₹16,000 - ₹24,000",Full-time,0
LOC0018,Office Assistant,SkillBridge OfficeAssistant Business Hub,Madurai,"Simmakkal, Madurai, Tamil Nadu, India",9.9252,78.1198,0.0,Very Nearby,65.0,15.0,80.0,Recommended,office administration → ms office; office administration → excel; office administration → data entry; customer service → communication; telugu → communication; hindi → communication,related; related; related; related; related; related,"₹15,000 - ₹23,000",Full-time,0
LOC0016,Customer Support Executive,City CustomerSupportExecutive Center,Madurai,"Mattuthavani, Madurai, Tamil Nadu, India",9.9252,78.1198,0.0,Very Nearby,57.5,15.0,72.5,Recommended,customer service → communication; customer service → customer service; customer service → problem solving; telugu → communication; telugu → customer service; hindi → communication; hindi → customer service,related; exact; related; related; related; related; related,"₹18,000 - ₹28,000",Full-time,0
LOC0017,Sales Executive,Regional SalesExecutive Technologies,Madurai,"Tallakulam, Madurai, Tamil Nadu, India",9.9252,78.1198,0.0,Very Nearby,57.5,15.0,72.5,Recommended,customer service → sales; customer service → communication; customer service → customer service; telugu → communication; telugu → customer service; hindi → communication; hindi → customer service,related; related; exact; related; related; related; related,"₹18,000 - ₹30,000",Full-time,0
LOC0021,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Madurai,"Mattuthavani, Madurai, Tamil Nadu, India",9.9252,78.1198,0.0,Very Nearby,48.8,15.0,63.8,Good Match,customer service → communication; telugu → communication; hindi → communication,related; related; related,"₹20,000 - ₹35,000",Full-time,1
LOC0022,Teacher,Regional Teacher Center,Madurai,"Tallakulam, Madurai, Tamil Nadu, India",9.9252,78.1198,0.0,Very Nearby,48.8,15.0,63.8,Good Match,customer service → communication; telugu → communication; hindi → communication,related; related; related,"₹18,000 - ₹30,000",Full-time,0
LOC0024,Python Developer,Community PythonDeveloper Business Hub,Madurai,"Anna Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,0.0,Very Nearby,48.8,15.0,63.8,Good Match,customer service → communication; telugu → communication; hindi → communication,related; related; related,"₹30,000 - ₹60,000",Full-time,1
LOC0014,Data Entry Operator,Community DataEntryOperator Services,Madurai,"Anna Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,0.0,Very Nearby,16.2,15.0,31.2,Possible Match,office administration → ms excel; office administration → ms office; office administration → data entry,related; related; related,"₹15,000 - ₹22,000",Full-time,0
LOC0019,Account Assistant,Community AccountAssistant Employment Services,Madurai,"Anna Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,0.0,Very Nearby,16.2,15.0,31.2,Possible Match,office administration → excel; office administration → ms office,related; related,"₹20,000 - ₹32,000",Full-time,1
LOC0020,Junior Accountant,Local JuniorAccountant Services,Madurai,"KK Nagar, Madurai, Tamil Nadu, India",9.9252,78.1198,0.0,Very Nearby,16.2,15.0,31.2,Possible Match,office administration → excel,related,"₹22,000 - ₹35,000",Full-time,1
