job_id,job_title,company,location,skill_match,local_bonus,final_score,matched_skills,match_types,recommendation,explanation,skill_summary,explanation_en,explanation_te,explanation_hi,explanation_ta
L001,Data Entry Operator,Local Office Solutions,Secunderabad,58.0,5.0,63.0,office administration → excel; office administration → ms office; office administration → data entry; customer service → communication,related; related; related; related,Recommended,Strong skill match. office administration matches excel. office administration matches ms office. office administration matches data entry. customer service matches communication. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 63.0%.,4 relevant skill connection(s) found,Strong skill match. office administration matches excel. office administration matches ms office. office administration matches data entry. customer service matches communication. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 63.0%.,నైపుణ్య సరిపోలిక బాగుంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ Excelతో సరిపోలుతోంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ MS Officeతో సరిపోలుతోంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ డేటా ఎంట్రీతో సరిపోలుతోంది. కస్టమర్ సర్వీస్ కమ్యూనికేషన్తో సరిపోలుతోంది. ఈ స్థానిక ఉద్యోగ అవకాశం (Secunderabad) అభ్యర్థి ప్రాంతానికి సమీపంలో ఉంది. మొత్తం సిఫార్సు స్కోర్: 63.0%.,कौशल का अच्छा मिलान है। ऑफिस एडमिनिस्ट्रेशन Excel से मेल खाता है. ऑफिस एडमिनिस्ट्रेशन MS Office से मेल खाता है. ऑफिस एडमिनिस्ट्रेशन डेटा एंट्री से मेल खाता है. कस्टमर सर्विस कम्युनिकेशन से मेल खाता है. यह स्थानीय नौकरी (Secunderabad) उम्मीदवार के क्षेत्र के पास है। कुल अनुशंसा स्कोर: 63.0%.,திறன் பொருத்தம் சிறப்பாக உள்ளது. அலுவலக நிர்வாகம் Excel உடன் பொருந்துகிறது. அலுவலக நிர்வாகம் MS Office உடன் பொருந்துகிறது. அலுவலக நிர்வாகம் தரவு உள்ளீடு உடன் பொருந்துகிறது. வாடிக்கையாளர் சேவை தொடர்பு உடன் பொருந்துகிறது. இந்த உள்ளூர் வேலை வாய்ப்பு (Secunderabad) விண்ணப்பதாரரின் பகுதிக்கு அருகில் உள்ளது. மொத்த பரிந்துரை மதிப்பெண்: 63.0%.
L014,Office Assistant,Community Office Services,Hyderabad,58.0,5.0,63.0,office administration → ms office; office administration → excel; office administration → data entry; customer service → communication,related; related; related; related,Recommended,Strong skill match. office administration matches ms office. office administration matches excel. office administration matches data entry. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 63.0%.,4 relevant skill connection(s) found,Strong skill match. office administration matches ms office. office administration matches excel. office administration matches data entry. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 63.0%.,నైపుణ్య సరిపోలిక బాగుంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ MS Officeతో సరిపోలుతోంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ Excelతో సరిపోలుతోంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ డేటా ఎంట్రీతో సరిపోలుతోంది. కస్టమర్ సర్వీస్ కమ్యూనికేషన్తో సరిపోలుతోంది. ఈ స్థానిక ఉద్యోగ అవకాశం (Hyderabad) అభ్యర్థి ప్రాంతానికి సమీపంలో ఉంది. మొత్తం సిఫార్సు స్కోర్: 63.0%.,कौशल का अच्छा मिलान है। ऑफिस एडमिनिस्ट्रेशन MS Office से मेल खाता है. ऑफिस एडमिनिस्ट्रेशन Excel से मेल खाता है. ऑफिस एडमिनिस्ट्रेशन डेटा एंट्री से मेल खाता है. कस्टमर सर्विस कम्युनिकेशन से मेल खाता है. यह स्थानीय नौकरी (Hyderabad) उम्मीदवार के क्षेत्र के पास है। कुल अनुशंसा स्कोर: 63.0%.,திறன் பொருத்தம் சிறப்பாக உள்ளது. அலுவலக நிர்வாகம் MS Office உடன் பொருந்துகிறது. அலுவலக நிர்வாகம் Excel உடன் பொருந்துகிறது. அலுவலக நிர்வாகம் தரவு உள்ளீடு உடன் பொருந்துகிறது. வாடிக்கையாளர் சேவை தொடர்பு உடன் பொருந்துகிறது. இந்த உள்ளூர் வேலை வாய்ப்பு (Hyderabad) விண்ணப்பதாரரின் பகுதிக்கு அருகில் உள்ளது. மொத்த பரிந்துரை மதிப்பெண்: 63.0%.
L011,Sales Executive,Local Retail Services,Secunderabad,54.0,5.0,59.0,customer service → sales; customer service → communication; customer service → customer service,related; related; exact,Recommended,Strong skill match. customer service matches sales. customer service matches communication. customer service matches customer service. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 59.0%.,3 relevant skill connection(s) found,Strong skill match. customer service matches sales. customer service matches communication. customer service matches customer service. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 59.0%.,నైపుణ్య సరిపోలిక బాగుంది. కస్టమర్ సర్వీస్ సేల్స్తో సరిపోలుతోంది. కస్టమర్ సర్వీస్ కమ్యూనికేషన్తో సరిపోలుతోంది. కస్టమర్ సర్వీస్ కస్టమర్ సర్వీస్తో సరిపోలుతోంది. ఈ స్థానిక ఉద్యోగ అవకాశం (Secunderabad) అభ్యర్థి ప్రాంతానికి సమీపంలో ఉంది. మొత్తం సిఫార్సు స్కోర్: 59.0%.,कौशल का अच्छा मिलान है। कस्टमर सर्विस सेल्स से मेल खाता है. कस्टमर सर्विस कम्युनिकेशन से मेल खाता है. कस्टमर सर्विस कस्टमर सर्विस से मेल खाता है. यह स्थानीय नौकरी (Secunderabad) उम्मीदवार के क्षेत्र के पास है। कुल अनुशंसा स्कोर: 59.0%.,திறன் பொருத்தம் சிறப்பாக உள்ளது. வாடிக்கையாளர் சேவை விற்பனை உடன் பொருந்துகிறது. வாடிக்கையாளர் சேவை தொடர்பு உடன் பொருந்துகிறது. வாடிக்கையாளர் சேவை வாடிக்கையாளர் சேவை உடன் பொருந்துகிறது. இந்த உள்ளூர் வேலை வாய்ப்பு (Secunderabad) விண்ணப்பதாரரின் பகுதிக்கு அருகில் உள்ளது. மொத்த பரிந்துரை மதிப்பெண்: 59.0%.
L002,Computer Operator,Community Digital Center,Hyderabad,46.0,5.0,51.0,office administration → ms office; office administration → excel; customer service → communication,related; related; related,Recommended,Moderate skill match. office administration matches ms office. office administration matches excel. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 51.0%.,3 relevant skill connection(s) found,Strong skill match. office administration matches ms office. office administration matches excel. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 51.0%.,నైపుణ్య సరిపోలిక బాగుంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ MS Officeతో సరిపోలుతోంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ Excelతో సరిపోలుతోంది. కస్టమర్ సర్వీస్ కమ్యూనికేషన్తో సరిపోలుతోంది. ఈ స్థానిక ఉద్యోగ అవకాశం (Hyderabad) అభ్యర్థి ప్రాంతానికి సమీపంలో ఉంది. మొత్తం సిఫార్సు స్కోర్: 51.0%.,कौशल का अच्छा मिलान है। ऑफिस एडमिनिस्ट्रेशन MS Office से मेल खाता है. ऑफिस एडमिनिस्ट्रेशन Excel से मेल खाता है. कस्टमर सर्विस कम्युनिकेशन से मेल खाता है. यह स्थानीय नौकरी (Hyderabad) उम्मीदवार के क्षेत्र के पास है। कुल अनुशंसा स्कोर: 51.0%.,திறன் பொருத்தம் சிறப்பாக உள்ளது. அலுவலக நிர்வாகம் MS Office உடன் பொருந்துகிறது. அலுவலக நிர்வாகம் Excel உடன் பொருந்துகிறது. வாடிக்கையாளர் சேவை தொடர்பு உடன் பொருந்துகிறது. இந்த உள்ளூர் வேலை வாய்ப்பு (Hyderabad) விண்ணப்பதாரரின் பகுதிக்கு அருகில் உள்ளது. மொத்த பரிந்துரை மதிப்பெண்: 51.0%.
L008,Customer Support Executive,Local Service Center,Hyderabad,45.0,5.0,50.0,customer service → communication; customer service → customer service; office administration → problem solving,related; exact; supporting,Recommended,Moderate skill match. customer service matches communication. customer service matches customer service. office administration matches problem solving. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 50.0%.,3 relevant skill connection(s) found,Strong skill match. customer service matches communication. customer service matches customer service. office administration matches problem solving. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 50.0%.,నైపుణ్య సరిపోలిక బాగుంది. కస్టమర్ సర్వీస్ కమ్యూనికేషన్తో సరిపోలుతోంది. కస్టమర్ సర్వీస్ కస్టమర్ సర్వీస్తో సరిపోలుతోంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ సమస్య పరిష్కారంతో సరిపోలుతోంది. ఈ స్థానిక ఉద్యోగ అవకాశం (Hyderabad) అభ్యర్థి ప్రాంతానికి సమీపంలో ఉంది. మొత్తం సిఫార్సు స్కోర్: 50.0%.,कौशल का अच्छा मिलान है। कस्टमर सर्विस कम्युनिकेशन से मेल खाता है. कस्टमर सर्विस कस्टमर सर्विस से मेल खाता है. ऑफिस एडमिनिस्ट्रेशन समस्या समाधान से मेल खाता है. यह स्थानीय नौकरी (Hyderabad) उम्मीदवार के क्षेत्र के पास है। कुल अनुशंसा स्कोर: 50.0%.,திறன் பொருத்தம் சிறப்பாக உள்ளது. வாடிக்கையாளர் சேவை தொடர்பு உடன் பொருந்துகிறது. வாடிக்கையாளர் சேவை வாடிக்கையாளர் சேவை உடன் பொருந்துகிறது. அலுவலக நிர்வாகம் சிக்கல் தீர்வு உடன் பொருந்துகிறது. இந்த உள்ளூர் வேலை வாய்ப்பு (Hyderabad) விண்ணப்பதாரரின் பகுதிக்கு அருகில் உள்ளது. மொத்த பரிந்துரை மதிப்பெண்: 50.0%.
L007,Account Assistant,Community Finance Services,Secunderabad,29.0,5.0,34.0,office administration → excel; office administration → ms office,related; related,Possible Match,Partial skill match. office administration matches excel. office administration matches ms office. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 34.0%.,2 relevant skill connection(s) found,Moderate skill match. office administration matches excel. office administration matches ms office. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 34.0%.,మధ్యస్థ నైపుణ్య సరిపోలిక ఉంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ Excelతో సరిపోలుతోంది. ఆఫీస్ అడ్మినిస్ట్రేషన్ MS Officeతో సరిపోలుతోంది. ఈ స్థానిక ఉద్యోగ అవకాశం (Secunderabad) అభ్యర్థి ప్రాంతానికి సమీపంలో ఉంది. మొత్తం సిఫార్సు స్కోర్: 34.0%.,मध्यम कौशल मिलान है। ऑफिस एडमिनिस्ट्रेशन Excel से मेल खाता है. ऑफिस एडमिनिस्ट्रेशन MS Office से मेल खाता है. यह स्थानीय नौकरी (Secunderabad) उम्मीदवार के क्षेत्र के पास है। कुल अनुशंसा स्कोर: 34.0%.,மிதமான திறன் பொருத்தம் உள்ளது. அலுவலக நிர்வாகம் Excel உடன் பொருந்துகிறது. அலுவலக நிர்வாகம் MS Office உடன் பொருந்துகிறது. இந்த உள்ளூர் வேலை வாய்ப்பு (Secunderabad) விண்ணப்பதாரரின் பகுதிக்கு அருகில் உள்ளது. மொத்த பரிந்துரை மதிப்பெண்: 34.0%.
L013,Mobile Repair Technician,Local Electronics Center,Secunderabad,25.0,5.0,30.0,customer service → customer service,exact,Possible Match,Partial skill match. customer service matches customer service. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 30.0%.,1 relevant skill connection(s) found,Moderate skill match. customer service matches customer service. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 30.0%.,మధ్యస్థ నైపుణ్య సరిపోలిక ఉంది. కస్టమర్ సర్వీస్ కస్టమర్ సర్వీస్తో సరిపోలుతోంది. ఈ స్థానిక ఉద్యోగ అవకాశం (Secunderabad) అభ్యర్థి ప్రాంతానికి సమీపంలో ఉంది. మొత్తం సిఫార్సు స్కోర్: 30.0%.,मध्यम कौशल मिलान है। कस्टमर सर्विस कस्टमर सर्विस से मेल खाता है. यह स्थानीय नौकरी (Secunderabad) उम्मीदवार के क्षेत्र के पास है। कुल अनुशंसा स्कोर: 30.0%.,மிதமான திறன் பொருத்தம் உள்ளது. வாடிக்கையாளர் சேவை வாடிக்கையாளர் சேவை உடன் பொருந்துகிறது. இந்த உள்ளூர் வேலை வாய்ப்பு (Secunderabad) விண்ணப்பதாரரின் பகுதிக்கு அருகில் உள்ளது. மொத்த பரிந்துரை மதிப்பெண்: 30.0%.
L012,Teacher,Community Learning Center,Hyderabad,22.0,5.0,27.0,customer service → communication,related,Low Match,Partial skill match. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 27.0%.,1 relevant skill connection(s) found,Partial skill match. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 27.0%.,పాక్షిక నైపుణ్య సరిపోలిక ఉంది. కస్టమర్ సర్వీస్ కమ్యూనికేషన్తో సరిపోలుతోంది. ఈ స్థానిక ఉద్యోగ అవకాశం (Hyderabad) అభ్యర్థి ప్రాంతానికి సమీపంలో ఉంది. మొత్తం సిఫార్సు స్కోర్: 27.0%.,आंशिक कौशल मिलान है। कस्टमर सर्विस कम्युनिकेशन से मेल खाता है. यह स्थानीय नौकरी (Hyderabad) उम्मीदवार के क्षेत्र के पास है। कुल अनुशंसा स्कोर: 27.0%.,பகுதியளவு திறன் பொருத்தம் உள்ளது. வாடிக்கையாளர் சேவை தொடர்பு உடன் பொருந்துகிறது. இந்த உள்ளூர் வேலை வாய்ப்பு (Hyderabad) விண்ணப்பதாரரின் பகுதிக்கு அருகில் உள்ளது. மொத்த பரிந்துரை மதிப்பெண்: 27.0%.
L003,Python Developer,Hyderabad Tech Solutions,Hyderabad,19.6,5.0,24.6,customer service → communication,related,Low Match,Partial skill match. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 24.6%.,1 relevant skill connection(s) found,Partial skill match. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 24.6%.,పాక్షిక నైపుణ్య సరిపోలిక ఉంది. కస్టమర్ సర్వీస్ కమ్యూనికేషన్తో సరిపోలుతోంది. ఈ స్థానిక ఉద్యోగ అవకాశం (Hyderabad) అభ్యర్థి ప్రాంతానికి సమీపంలో ఉంది. మొత్తం సిఫార్సు స్కోర్: 24.6%.,आंशिक कौशल मिलान है। कस्टमर सर्विस कम्युनिकेशन से मेल खाता है. यह स्थानीय नौकरी (Hyderabad) उम्मीदवार के क्षेत्र के पास है। कुल अनुशंसा स्कोर: 24.6%.,பகுதியளவு திறன் பொருத்தம் உள்ளது. வாடிக்கையாளர் சேவை தொடர்பு உடன் பொருந்துகிறது. இந்த உள்ளூர் வேலை வாய்ப்பு (Hyderabad) விண்ணப்பதாரரின் பகுதிக்கு அருகில் உள்ளது. மொத்த பரிந்துரை மதிப்பெண்: 24.6%.
L006,Digital Marketing Executive,Local Business Hub,Hyderabad,19.6,5.0,24.6,customer service → communication,related,Low Match,Partial skill match. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 24.6%.,1 relevant skill connection(s) found,Partial skill match. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 24.6%.,పాక్షిక నైపుణ్య సరిపోలిక ఉంది. కస్టమర్ సర్వీస్ కమ్యూనికేషన్తో సరిపోలుతోంది. ఈ స్థానిక ఉద్యోగ అవకాశం (Hyderabad) అభ్యర్థి ప్రాంతానికి సమీపంలో ఉంది. మొత్తం సిఫార్సు స్కోర్: 24.6%.,आंशिक कौशल मिलान है। कस्टमर सर्विस कम्युनिकेशन से मेल खाता है. यह स्थानीय नौकरी (Hyderabad) उम्मीदवार के क्षेत्र के पास है। कुल अनुशंसा स्कोर: 24.6%.,பகுதியளவு திறன் பொருத்தம் உள்ளது. வாடிக்கையாளர் சேவை தொடர்பு உடன் பொருந்துகிறது. இந்த உள்ளூர் வேலை வாய்ப்பு (Hyderabad) விண்ணப்பதாரரின் பகுதிக்கு அருகில் உள்ளது. மொத்த பரிந்துரை மதிப்பெண்: 24.6%.
