job_title,company,location,detected_job_role,skill_match_percentage,matched_skills,role_skill_gaps,exact_role_match,final_precise_score,redirect_url,latitude,longitude,company_address
Physician MD General Medicine or equivalent,Grace Kennett Foundation Hospital,"Madurai, Tamil Nadu",Doctor / Physician,36.36,"doctor, general medicine, mbbs, md","patient care, medical records, medical coding",True,68.18,https://www.adzuna.in/land/ad/5830416661?se=TpmqX3Sc8RGlrvMe-VN8Yg&utm_medium=api&utm_source=10d03a1b&v=DAA341BFE8F0847FB49BFC1C0EE6F89A69C153C8,9.91051,78.1158,"India, Tamil Nadu, Madurai"
MBBS Doctor,Al Amani Human Resources Consultancy,"Koyilandi, Kozhikode",Doctor / Physician,27.27,"diagnosis, doctor, mbbs","patient care, medical records, medical coding",True,63.63,https://www.adzuna.in/details/5782107375?utm_medium=api&utm_source=10d03a1b,11.2293,75.8395,"India, Kerala, Kozhikode, Koyilandi"
Medical Coding fresher Job-Dentist 2025/2026 Freshers Wanted,I Skills Solutions,"Chennai, Tamil Nadu",Doctor / Physician,18.18,"diagnosis, doctor","patient care, medical records, medical coding",True,59.09,https://www.adzuna.in/land/ad/5818747306?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=51CCA91C40F802D7628CC02DAE4ED62B8F617A15,13.06041,80.24963,"India, Tamil Nadu, Chennai"
MD Dermatologist,Bodycraft,"Vellore, Tamil Nadu",Doctor / Physician,18.18,"doctor, md","patient care, medical records, medical coding",True,59.09,https://www.adzuna.in/details/5782690969?utm_medium=api&utm_source=10d03a1b,12.93975,79.3664,"India, Tamil Nadu, Vellore"
Consultant - Ophthalmologist,Dr Agarwal,"Tirunelveli, Tamil Nadu",Doctor / Physician,9.09,doctor,"patient care, medical records, medical coding",True,54.55,https://www.adzuna.in/details/5727116563?utm_medium=api&utm_source=10d03a1b,8.7256,77.69625,"India, Tamil Nadu, Tirunelveli"
Interior Project Coordinator,HealthSy Pharmacy,"Coimbatore, Tamil Nadu",Other,9.09,doctor,,False,9.54,https://www.adzuna.in/land/ad/5838134352?se=OO_RYXSc8RGqn_jkSy3S8Q&utm_medium=api&utm_source=10d03a1b&v=95A432166F92630229DFAA88AE0BB76F9A321EC5,11.017171,77.100203,"India, Tamil Nadu, Coimbatore"
Senior Specialist.Cardiology.MIMS Hospital Calicut,Aster DM Healthcare,"Kozhikode, Kerala",Other,9.09,doctor,,False,9.54,https://www.adzuna.in/details/4801380584?utm_medium=api&utm_source=10d03a1b,,,"India, Kerala, Kozhikode"
Commercial Vehicle Technician – Truck Segment,2coms,"Trivandrum, Thiruvananthapuram",Other,9.09,diagnosis,,False,9.54,https://www.adzuna.in/details/5614767689?utm_medium=api&utm_source=10d03a1b,8.48925,76.95275,"India, Kerala, Thiruvananthapuram, Trivandrum"
Hiring Lab Technician (Male) - Trichy,Captalent Hr,"Tirunelveli, Tamil Nadu",Other,9.09,diagnosis,,False,9.54,https://www.adzuna.in/details/5832800938?utm_medium=api&utm_source=10d03a1b,8.7256,77.69625,"India, Tamil Nadu, Tirunelveli"
Project Coordinator,Qure.ai,"Vellore, Tamil Nadu",Other,9.09,diagnosis,,False,9.54,https://www.adzuna.in/details/5834562184?utm_medium=api&utm_source=10d03a1b,12.93975,79.3664,"India, Tamil Nadu, Vellore"
Medical Coding fresher Job- Life science Graduates 2025/2026 Freshers Wanted,I Skills Solutions,"Chennai, Tamil Nadu",Medical Coder,18.18,"diagnosis, doctor",,False,9.09,https://www.adzuna.in/land/ad/5837120885?se=IpgZZHSc8RGlrvMe-VN8Yg&utm_medium=api&utm_source=10d03a1b&v=77046BA78973C478BE014C4A25A831E6407FEFDF,11.56305,77.99725,"India, Tamil Nadu, Chennai"
"AVP/VP - Principal, Governance, Risk & Compliance (India based)",Spot Your Leaders & Consulting,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5825072254?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=D7727D2B7B834A0A3CA83F3583D053E2F27807A1,12.9767936,77.590082,"India, Karnataka, Bangalore"
Consultant Copywriter,WPP Production,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5785771868?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=AD2CE66DE5CDBCDFEB8764F7C2EAE2B5F98BAD18,12.95703,77.59837,"India, Karnataka, Bangalore"
Customer Success Manager,Atomicwork,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5729067546?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=98066A6D4F6CBA7F8FA837A2A70FFD30ABD83802,,,"India, Karnataka, Bangalore"
