source,source_job_id,job_title,company,location,location_area,searched_location,latitude,longitude,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,description,created,redirect_url,profession_category,search_term,detected_job_profession,skill_match_percentage,matched_skills,missing_candidate_skills,matched_skill_count,missing_skill_count,final_match_score,candidate_role,job_role,role_score,role_skill_gaps,final_role_aware_score
Adzuna,5842123230,"MBBS,MD MPH / MHA - Appeals",PrimEra Medical Technologies,"Hyderabad, Telangana","['India', 'Telangana', 'Hyderabad']",Hyderabad,17.40275,78.50806,,,0,,,Healthcare & Nursing Jobs,"Job Description Ø Clinical audit of a patient’s Electronic Hospital Records (EHR) Ø Focusing on evaluation, assessment, treatment, and monitoring of existing or missing clinical conditions in EHR Ø Query the physician on missing documentation for final diagnosis, leading to strengthening of documentation on medical records Ø Clinical interpretation of medical diagnosis and assigning of the ICD-10 (International Classification of Diseases) codes based on the available clinical documentation for …",2026-08-15T00:26:10Z,https://www.adzuna.in/land/ad/5842123230?se=rGN7MIec8RGwBe63zKMEtw&utm_medium=api&utm_source=10d03a1b&v=963350E02DC141E4270F947D9543FD8F1059464B,Healthcare,physician,Healthcare,36.36,"MBBS, MD, Diagnosis, Clinical Documentation","General Medicine, Doctor, Patient Assessment, Emergency Care, BLS, ACLS, Patient Counselling",4,7,45.91,Doctor / Physician,Doctor / Physician,50,Medical Records,73.64
Adzuna,5809616602,Medical Consultant,Tricog Health Pvt. Ltd.,"Venkatarangapura, Bangalore","['India', 'Karnataka', 'Bangalore', 'Venkatarangapura']",Bengaluru,13.00835,77.56145,400000.0,400000.0,0,permanent,,Healthcare & Nursing Jobs,This is a remote position. Position: Consultant Physician/ Non-invasive Cardiologist. Qualification: MBBS MD[General Medicine/Internal Medicine] MBBS DNB[General Medicine/Internal Medicine] MBBSPGDCC/FNIC Experience: 5 years post MBBS. Responsibilities: Identify and report ECGs accurately and promptly within the TAT and extend support by guiding the Doctors/ Customers. Review the patient's ECG and send the reports to hospitals/ clinics/ diagnostic centers/ nursing homes around the clock without…,2026-07-22T00:39:37Z,https://www.adzuna.in/details/5809616602?utm_medium=api&utm_source=10d03a1b,Healthcare,physician,Healthcare,36.36,"MBBS, MD, General Medicine, Doctor","Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",4,7,30.91,Doctor / Physician,Doctor / Physician,50,,73.64
Adzuna,5834649543,MD General Medicine Doctor,Dr. Kennedys Saraswathy Multispeciality Hospital,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",Chennai,13.06041,80.24963,,,0,,,Healthcare & Nursing Jobs,"We're Hiring – MD General Medicine Doctor Join Saraswathy Multispeciality Hospital and be part of a team dedicated to delivering quality, patient-centered healthcare. Position: MD General Medicine Doctor Locations: Tambaram & Madipakkam What We're Looking For: MD in General Medicine Strong clinical and diagnostic skills Excellent patient care and communication Commitment to ethical medical practice Ability to work collaboratively in a multidisciplinary team If you're passionate about making a m…",2026-08-09T18:06:22Z,https://www.adzuna.in/land/ad/5834649543?se=_vMKtYac8RGwBe63zKMEtw&utm_medium=api&utm_source=10d03a1b&v=8C82AE16BAF8190D9B412CEE3F01B0887E469837,Healthcare,doctor,Healthcare,27.27,"MD, General Medicine, Doctor","MBBS, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",3,8,38.18,Doctor / Physician,Doctor / Physician,50,Patient Care,67.73
Adzuna,5646958609,General Medicine(MBBS),Pentabay Softwares,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",Chennai,13.06041,80.24963,300000.0,900000.0,0,contract,full_time,Healthcare & Nursing Jobs,"Job Title: General Physician (MBBS) Location: Anna Salai (Mount Road), Chennai Employment Type: Full-Time, Onsite Company: Pentabay Softwares Role Overview We are looking for a registered MBBS Doctor to manage our walk-in clinic and support healthcare-related projects and Online consultations Virtually .This role is ideal for a practitioner who enjoys a mix of active clinical practice and contributing to medical-tech workflows. You will be responsible for providing high-quality primary care to …",2026-02-27T11:14:10Z,https://www.adzuna.in/details/5646958609?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,27.27,"MBBS, General Medicine, Doctor","MD, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",3,8,38.18,Doctor / Physician,Doctor / Physician,50,,67.73
Adzuna,5830416661,Physician MD General Medicine or equivalent,Grace Kennett Foundation Hospital,"Madurai, Tamil Nadu","['India', 'Tamil Nadu', 'Madurai']",Madurai,9.91051,78.1158,,,0,,,Healthcare & Nursing Jobs,"MBBS with MD (General Medicine) or equivalent qualification Valid medical registration Strong clinical judgment and a collaborative approach to patient care Genuine interest in working within a mission-driven healthcare institution If you're looking for a role that offers clinical depth, manageable hours, and a workplace with real institutional purpose, we'd love to hear from you.",2026-08-06T17:50:17Z,https://www.adzuna.in/land/ad/5830416661?se=MBhz04ac8RGgd9X26G9YQA&utm_medium=api&utm_source=10d03a1b&v=DAA341BFE8F0847FB49BFC1C0EE6F89A69C153C8,Healthcare,general physician,Healthcare,27.27,"MBBS, MD, General Medicine","Doctor, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",3,8,38.18,Doctor / Physician,Doctor / Physician,50,Patient Care,67.73
Adzuna,4686702935,MBBS Doctor,,"Bangalore, Karnataka","['India', 'Karnataka', 'Bangalore']",Bengaluru,12.95703,77.59837,,,0,,,Healthcare & Nursing Jobs,"We have urgent opening, The details are as follows: Position : MBBS Doctor - General Physician Qualification : MBBS Work Location : HSR Layout, Near Bommanahalli. Hospital Type : Clinic (Out patient Daycare Clinic). Interested candidates can reach me on Nine Zero Three Six double zero five three six five. Regards. Anand. Nine Zero Three Six double zero five three six five",2024-05-10T07:38:36Z,https://www.adzuna.in/details/4686702935?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,27.27,"MBBS, General Medicine, Doctor","MD, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",3,8,38.18,Doctor / Physician,Doctor / Physician,50,,67.73
Adzuna,5796417154,Gynaecologist-Female MD,Vishwakarma Consultancy,"Bangalore, Karnataka","['India', 'Karnataka', 'Bangalore']",Bengaluru,,,,,0,,,Healthcare & Nursing Jobs,"Job description: Gynecologist-MD/DGO Min 2-10 for hospital Female Gynaecologist with 2-7 years of experience Perform gynecological examinations and surgeries in a hospital setting Location: Jabalpur, Narsinghpur Employment Type: Full Time, Permanent Role Category: Doctor Education UG: MBBS in Any Specialization PG: Medical-MS/MD in Gyneocology, PG Diploma in Any Specialization Skills: gynecologic surgery , Emergency Services, Treatment, Opd Experience: 2.00-7.00 Years",2026-07-11T07:21:29Z,https://www.adzuna.in/details/5796417154?utm_medium=api&utm_source=10d03a1b,Healthcare,MBBS doctor,Healthcare,27.27,"MBBS, MD, Doctor","General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",3,8,33.18,Doctor / Physician,Doctor / Physician,50,,67.73
Adzuna,5820579863,Wanted General Practioner For Saudi Arabia,Resolve,"Madurai, Tamil Nadu","['India', 'Tamil Nadu', 'Madurai']",Madurai,9.91051,78.1158,,,0,,,Teaching Jobs,"Requirement for Remote Healthcare Professionals in Eastern Region under Tamken Requirements Only Male Candidate Nationality: Indian Qualification: MBBS with minimum 3yrs of experience Salary :16000 SAR OT Role: General Physician Industry Type: Education / Training Department: Healthcare & Life Sciences Employment Type: Full Time, Permanent Role Category: Doctor Education UG: MBBS in Medicine Skills: Medicine Experience: 3.00-7.00 Years",2026-07-30T07:27:58Z,https://www.adzuna.in/details/5820579863?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,27.27,"MBBS, General Medicine, Doctor","MD, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",3,8,23.18,Doctor / Physician,Doctor / Physician,50,,67.73
Adzuna,5820579822,Wanted General Practitioner and Specialist For Saudi Arabia,Resolve,"Bangalore, Karnataka","['India', 'Karnataka', 'Bangalore']",Bengaluru,,,,,0,,,Healthcare & Nursing Jobs,"Greetings From RESOLVE ITECH CORP We are hiring DOCTORS for SAUDI GENERAL PHYSICIAN Qualification : MBBS/ Experience : Minimum 3 Years Salary : 8500 SAR Accommodation and Transport Role: Doctor - Other Industry Type: Medical Services / Hospital (Diagnostics) Department: Healthcare & Life Sciences Employment Type: Full Time, Permanent Role Category: Doctor Education UG: MBBS in Medicine Skills: Mbbs, General Surgery, General Practitioner, Gynecology Experience: 3.00-7.00 Years",2026-07-30T07:27:57Z,https://www.adzuna.in/details/5820579822?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,27.27,"MBBS, General Medicine, Doctor","MD, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",3,8,23.18,Doctor / Physician,Doctor / Physician,50,,67.73
Adzuna,4686704811,Cosmetologist,,"Hyderabad, Telangana","['India', 'Telangana', 'Hyderabad']",Hyderabad,17.40275,78.50806,,,0,,,Creative & Design Jobs,"Looking for Doctors with cosmetology experience, positions hiring for: Cosmetology Doctors. Cosmetology Doctor assistants / Skin therapist. (with good knowledge on skin and hair) MD Dermat / MBBS, PG-Diploma in Dermatology Skills Candidates with good skills in cosmetology (Skin/Hair) Doctors with cosmetology experience (Skin/Hair) Any cosmetology certifications (Skin/Hair) Skin Therapists with good cosmetology training skills. Contact Details: Interested candidates can forward your resumes to r…",2024-05-10T07:38:50Z,https://www.adzuna.in/details/4686704811?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,27.27,"MBBS, MD, Doctor","General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",3,8,23.18,Doctor / Physician,Doctor / Physician,50,,67.73
