resume_id,job_id,job_title,company,ai_match_percentage,total_job_skills,matched_skill_count,skill_match_percentage,matched_skills,skill_gaps,skill_gap_count
1,50,,Webvio Technologies,41.27,1,1,100.0,english logging r,bloggingsearch engine optimization seo creative writingproofreadingenglish proficiency written research and analytics,1
1,39,,KnowledgeWorks Global Limited,39.59,1,1,100.0,english r,english proficiency spoken english proficiency written,1
1,17,,SpotOnMedia,35.91,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
1,24,,SpotOnMedia,35.91,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
1,1,,Calipers Consulting Private Limited,34.62,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
1,5,,SREEDHARA ENTERPRISES,30.71,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
1,3,,Modtraa Design And Creation Incorporation,30.43,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
1,48,,Zucol Group Of Companies,29.93,1,1,100.0,english r,creative writingenglish proficiency spoken english proficiency written network protocols,1
1,26,,Imarticus Learning,29.48,1,1,100.0,design thinking r,content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more,1
1,37,,Urban Company,29.02,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
2,39,,KnowledgeWorks Global Limited,42.33,1,1,100.0,english r,english proficiency spoken english proficiency written,1
2,5,,SREEDHARA ENTERPRISES,38.57,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
2,34,,Ashiana Housing Limited,37.3,1,1,100.0,data analytics r,data analyticsms-exceldata entrypower bidata analysis,1
2,1,,Calipers Consulting Private Limited,36.97,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
2,7,,Leafoberryy,36.26,1,1,100.0,communication data analytics r,leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,1
2,37,,Urban Company,34.7,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
2,17,,SpotOnMedia,33.7,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
2,24,,SpotOnMedia,33.7,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
2,43,,Mintifi Finserve Private Limited,33.34,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
2,50,,Webvio Technologies,31.8,1,1,100.0,english logging r,bloggingsearch engine optimization seo creative writingproofreadingenglish proficiency written research and analytics,1
3,39,,KnowledgeWorks Global Limited,41.91,1,1,100.0,english r,english proficiency spoken english proficiency written,1
3,26,,Imarticus Learning,39.46,1,1,100.0,design thinking r,content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more,1
3,3,,Modtraa Design And Creation Incorporation,39.3,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
3,1,,Calipers Consulting Private Limited,38.12,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
3,9,,Internshala,34.76,1,1,100.0,communication english r,negotiationproblem solvingenglish proficiency spoken saleseffective communication,1
3,10,,Internshala,34.76,1,1,100.0,communication english r,negotiationproblem solvingenglish proficiency spoken saleseffective communication,1
3,5,,SREEDHARA ENTERPRISES,34.18,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
3,50,,Webvio Technologies,33.57,1,1,100.0,english logging r,bloggingsearch engine optimization seo creative writingproofreadingenglish proficiency written research and analytics,1
3,19,,Bhanzu (Formerly Exploring Infinities),32.41,2,1,50.0,communication english r,"english proficiency spoken english proficiency written saleseffective communicationsales strategy, ms-excel",2
3,43,,Mintifi Finserve Private Limited,32.01,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
4,7,,Leafoberryy,48.18,1,1,100.0,communication data analytics r,leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,1
4,5,,SREEDHARA ENTERPRISES,45.39,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
4,45,,Lishanth Enterprises,44.62,1,1,100.0,r,client relationship management crm coordinationsales managementclient relationshipnegotiationscustomer acquisitionsales strategy,1
4,37,,Urban Company,42.43,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
4,34,,Ashiana Housing Limited,41.8,1,1,100.0,data analytics r,data analyticsms-exceldata entrypower bidata analysis,1
4,12,,Belstar MicroFinance Limited,41.31,1,1,100.0,accounting plan r,accountingfinancial planningfinancial reporting,1
4,1,,Calipers Consulting Private Limited,40.91,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
4,38,,Urban Company Ltd.,40.75,2,1,50.0,english r,"english proficiency written, ms-excel",2
4,3,,Modtraa Design And Creation Incorporation,39.34,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
4,29,,GlobalStep Services Private Limited,38.59,1,1,100.0,r,recruitmentresume screeninginterview coordination,1
5,43,,Mintifi Finserve Private Limited,48.29,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
5,39,,KnowledgeWorks Global Limited,45.52,1,1,100.0,english r,english proficiency spoken english proficiency written,1
5,3,,Modtraa Design And Creation Incorporation,45.11,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
5,1,,Calipers Consulting Private Limited,44.94,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
5,26,,Imarticus Learning,43.39,1,1,100.0,design thinking r,content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more,1
5,5,,SREEDHARA ENTERPRISES,42.65,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
5,29,,GlobalStep Services Private Limited,40.66,1,1,100.0,r,recruitmentresume screeninginterview coordination,1
5,37,,Urban Company,38.84,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
5,7,,Leafoberryy,38.37,1,1,100.0,communication data analytics r,leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,1
5,17,,SpotOnMedia,37.49,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
6,39,,KnowledgeWorks Global Limited,57.65,1,1,100.0,english r,english proficiency spoken english proficiency written,1
6,1,,Calipers Consulting Private Limited,55.83,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
6,37,,Urban Company,48.98,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
6,43,,Mintifi Finserve Private Limited,47.78,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
6,5,,SREEDHARA ENTERPRISES,47.7,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
6,17,,SpotOnMedia,47.08,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
6,24,,SpotOnMedia,47.08,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
6,38,,Urban Company Ltd.,45.93,2,1,50.0,english r,"english proficiency written, ms-excel",2
6,3,,Modtraa Design And Creation Incorporation,43.23,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
6,26,,Imarticus Learning,41.47,1,1,100.0,design thinking r,content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more,1
7,17,,SpotOnMedia,41.7,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
7,24,,SpotOnMedia,41.7,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
7,37,,Urban Company,34.57,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
7,1,,Calipers Consulting Private Limited,34.28,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
7,7,,Leafoberryy,31.64,1,1,100.0,communication data analytics r,leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,1
7,34,,Ashiana Housing Limited,31.33,1,1,100.0,data analytics r,data analyticsms-exceldata entrypower bidata analysis,1
7,5,,SREEDHARA ENTERPRISES,31.25,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
7,49,,Cloudnine Hospital,30.29,2,1,50.0,english r,"english proficiency written canvapivot tablevlookup, ms-excel",2
7,38,,Urban Company Ltd.,30.12,2,1,50.0,english r,"english proficiency written, ms-excel",2
7,14,,NYX,29.97,1,1,100.0,r,negotiationdigital marketingclient relationship management crm client relationshiplinkedin marketingbusiness developmentgoogle workspace+5 more,1
8,39,,KnowledgeWorks Global Limited,45.58,1,1,100.0,english r,english proficiency spoken english proficiency written,1
8,5,,SREEDHARA ENTERPRISES,34.58,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
8,1,,Calipers Consulting Private Limited,34.37,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
8,17,,SpotOnMedia,32.27,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
8,24,,SpotOnMedia,32.27,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
8,20,,Bhanzu (Formerly Exploring Infinities),32.05,1,1,100.0,english r ski,english proficiency spoken english proficiency written interpersonal skills,1
8,37,,Urban Company,31.54,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
8,50,,Webvio Technologies,31.44,1,1,100.0,english logging r,bloggingsearch engine optimization seo creative writingproofreadingenglish proficiency written research and analytics,1
