resume_id,job_id,job_title,company,location,resume_category,similarity_score,match_percentage,matched_skills,original_job_skills
1,50,,Webvio Technologies,Delhi,,0.4127,41.27,english; logging; r,BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics
1,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.3959,39.59,english; r,English Proficiency (Spoken)English Proficiency (Written)
1,17,,SpotOnMedia,Work from home,,0.3591,35.91,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
1,24,,SpotOnMedia,Work from home,,0.3591,35.91,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
1,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.3462,34.62,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
1,5,,SREEDHARA ENTERPRISES,Bangalore,,0.3071,30.71,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
1,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.3043,30.43,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
1,48,,Zucol Group Of Companies,Pune,,0.2993,29.93,english; r,Creative WritingEnglish Proficiency (Spoken)English Proficiency (Written)Network protocols
1,26,,Imarticus Learning,"Mumbai, Noida",,0.2948,29.48,design thinking; r,Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more
1,37,,Urban Company,Bangalore,,0.2902,29.02,english; r,"MS-Excel, English Proficiency (Spoken)"
2,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.4233,42.33,english; r,English Proficiency (Spoken)English Proficiency (Written)
2,5,,SREEDHARA ENTERPRISES,Bangalore,,0.3857,38.57,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
2,34,,Ashiana Housing Limited,Bhiwadi,,0.373,37.3,data analytics; r,Data AnalyticsMS-ExcelData entryPower BIData Analysis
2,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.3697,36.97,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
2,7,,Leafoberryy,Mumbai,,0.3626,36.26,communication; data analytics; r,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
2,37,,Urban Company,Bangalore,,0.347,34.7,english; r,"MS-Excel, English Proficiency (Spoken)"
2,17,,SpotOnMedia,Work from home,,0.337,33.7,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
2,24,,SpotOnMedia,Work from home,,0.337,33.7,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
2,43,,Mintifi Finserve Private Limited,Mumbai,,0.3334,33.34,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
2,50,,Webvio Technologies,Delhi,,0.318,31.8,english; logging; r,BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics
3,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.4191,41.91,english; r,English Proficiency (Spoken)English Proficiency (Written)
3,26,,Imarticus Learning,"Mumbai, Noida",,0.3946,39.46,design thinking; r,Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more
3,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.393,39.3,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
3,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.3812,38.12,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
3,9,,Internshala,Gurgaon,,0.3476,34.76,communication; english; r,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
3,10,,Internshala,Gurgaon,,0.3476,34.76,communication; english; r,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
3,5,,SREEDHARA ENTERPRISES,Bangalore,,0.3418,34.18,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
3,50,,Webvio Technologies,Delhi,,0.3357,33.57,english; logging; r,BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics
3,19,,Bhanzu (Formerly Exploring Infinities),Bangalore,,0.3241,32.41,communication; english; r,"MS-Excel, English Proficiency (Spoken)English Proficiency (Written)SalesEffective CommunicationSales Strategy"
3,43,,Mintifi Finserve Private Limited,Mumbai,,0.3201,32.01,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
4,7,,Leafoberryy,Mumbai,,0.4818,48.18,communication; data analytics; r,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
4,5,,SREEDHARA ENTERPRISES,Bangalore,,0.4539,45.39,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
4,45,,Lishanth Enterprises,"Narasaraopet, Anakapalle, Macherla, Prathipadu, Bapatla, Chirala, Gajuwaka Part",,0.4462,44.62,r,Client Relationship Management (CRM)CoordinationSales ManagementClient RelationshipNegotiationsCustomer AcquisitionSales Strategy
4,37,,Urban Company,Bangalore,,0.4243,42.43,english; r,"MS-Excel, English Proficiency (Spoken)"
4,34,,Ashiana Housing Limited,Bhiwadi,,0.418,41.8,data analytics; r,Data AnalyticsMS-ExcelData entryPower BIData Analysis
4,12,,Belstar MicroFinance Limited,Chennai,,0.4131,41.31,accounting; plan; r,AccountingFinancial planningFinancial Reporting
4,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.4091,40.91,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
4,38,,Urban Company Ltd.,Bangalore,,0.4075,40.75,english; r,"MS-Excel, English Proficiency (Written)"
4,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.3934,39.34,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
4,29,,GlobalStep Services Private Limited,Pune,,0.3859,38.59,r,RecruitmentResume screeningInterview Coordination
5,43,,Mintifi Finserve Private Limited,Mumbai,,0.4829,48.29,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
5,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.4552,45.52,english; r,English Proficiency (Spoken)English Proficiency (Written)
5,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.4511,45.11,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
