job_id,job_title,company,location,address,latitude,longitude,distance_km,distance_label,skill_match,location_score,final_score,recommendation,skill_matches,salary,employment_type,experience_years
LOC0002,Computer Operator,Local ComputerOperator Solutions,Chennai,"T Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,0.0,Very Nearby,82.5,15.0,97.5,Recommended,"[{'candidate_skill': 'ms office', 'job_skill': 'ms office', 'score': 1.0, 'type': 'exact'}, {'candidate_skill': 'hindi', 'job_skill': 'communication', 'score': 0.65, 'type': 'related'}]","₹16,000 - ₹24,000",Full-time,0
LOC0005,Office Assistant,SkillBridge OfficeAssistant Business Hub,Chennai,"Guindy, Chennai, Tamil Nadu, India",13.0827,80.2707,0.0,Very Nearby,82.5,15.0,97.5,Recommended,"[{'candidate_skill': 'ms office', 'job_skill': 'ms office', 'score': 1.0, 'type': 'exact'}, {'candidate_skill': 'hindi', 'job_skill': 'communication', 'score': 0.65, 'type': 'related'}]","₹15,000 - ₹23,000",Full-time,0
LOC0001,Data Entry Operator,Community DataEntryOperator Services,Chennai,"Anna Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,0.0,Very Nearby,50.0,15.0,65.0,Good Match,"[{'candidate_skill': 'ms office', 'job_skill': 'ms office', 'score': 1.0, 'type': 'exact'}]","₹15,000 - ₹22,000",Full-time,0
LOC0006,Account Assistant,Community AccountAssistant Employment Services,Chennai,"Anna Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,0.0,Very Nearby,50.0,15.0,65.0,Good Match,"[{'candidate_skill': 'ms office', 'job_skill': 'ms office', 'score': 1.0, 'type': 'exact'}]","₹20,000 - ₹32,000",Full-time,1
LOC0003,Customer Support Executive,City CustomerSupportExecutive Center,Chennai,"Adyar, Chennai, Tamil Nadu, India",13.0827,80.2707,0.0,Very Nearby,32.5,15.0,47.5,Possible Match,"[{'candidate_skill': 'hindi', 'job_skill': 'communication', 'score': 0.65, 'type': 'related'}]","₹18,000 - ₹28,000",Full-time,0
LOC0004,Sales Executive,Regional SalesExecutive Technologies,Chennai,"Velachery, Chennai, Tamil Nadu, India",13.0827,80.2707,0.0,Very Nearby,32.5,15.0,47.5,Possible Match,"[{'candidate_skill': 'hindi', 'job_skill': 'communication', 'score': 0.65, 'type': 'related'}]","₹18,000 - ₹30,000",Full-time,0
LOC0008,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Chennai,"Adyar, Chennai, Tamil Nadu, India",13.0827,80.2707,0.0,Very Nearby,32.5,15.0,47.5,Possible Match,"[{'candidate_skill': 'hindi', 'job_skill': 'communication', 'score': 0.65, 'type': 'related'}]","₹20,000 - ₹35,000",Full-time,1
LOC0009,Teacher,Regional Teacher Center,Chennai,"Velachery, Chennai, Tamil Nadu, India",13.0827,80.2707,0.0,Very Nearby,32.5,15.0,47.5,Possible Match,"[{'candidate_skill': 'hindi', 'job_skill': 'communication', 'score': 0.65, 'type': 'related'}]","₹18,000 - ₹30,000",Full-time,0
LOC0011,Python Developer,Community PythonDeveloper Business Hub,Chennai,"Anna Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,0.0,Very Nearby,32.5,15.0,47.5,Possible Match,"[{'candidate_skill': 'hindi', 'job_skill': 'communication', 'score': 0.65, 'type': 'related'}]","₹30,000 - ₹60,000",Full-time,1
LOC0007,Junior Accountant,Local JuniorAccountant Services,Chennai,"T Nagar, Chennai, Tamil Nadu, India",13.0827,80.2707,0.0,Very Nearby,0.0,15.0,15.0,Low Match,[],"₹22,000 - ₹35,000",Full-time,1
