source,source_job_id,job_title,company,location,searched_location,address,exact_address,latitude,longitude,distance_km,distance_label,location_score,skill_match,final_score,recommendation,skill_matches,salary,employment,contract_type,description,redirect_url,location_status,_distance_sort
Adzuna,5817921697,PHP Developer,Colan Infotech,"Vellore, Tamil Nadu",Vellore,"India, Tamil Nadu, Vellore",True,12.93975,79.3664,0.0,Very Nearby,20.0,65.0,85.0,Recommended,python -> web development (related); excel -> data entry (related); ms office -> data entry (related),,,,"Programming Languages: PHP, JavaScript, WordPress is plus Laravel / CodeIgniter PHP Framework for both front-end and back-end preferred HTML Bootstrap for responsive design JQuery for data processing and querying Social Media Integration Web Site/Graphic Design experience preferred Other Open Source Tools and Technologies Skills: Laravel, Php, Javascript, Css, Html, Codeigniter Experience: 1.00-3.00 Years",https://www.adzuna.in/details/5817921697?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna,0.0
Adzuna,4686701358,Content Developer,,"Vellore, Tamil Nadu",Vellore,"India, Tamil Nadu, Vellore",True,12.93975,79.3664,0.0,Very Nearby,20.0,55.0,75.0,Recommended,excel -> ms office (related); ms office -> ms office (exact),,,,Job Description: . Research industry-related topics Write a clear marketing copy to promote our products/services Prepare well-structured drafts using Content Management Systems Proofread and edit blog posts before publication. Hands-on experience with Content Management Systems (e.g. Word Press) Coordinate with marketing and design teams to illustrate articles Conduct simple keyword research and use SEO guidelines to increase web traffic Promote content on social media Identify customers’ need…,https://www.adzuna.in/details/4686701358?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna,0.0
Adzuna,5640780810,Officer – Programme Delivery-HARIPRIYA,JOBS n TA HR Services,"Vellore, Tamil Nadu",Vellore,"India, Tamil Nadu, Vellore",True,12.93975,79.3664,0.0,Very Nearby,20.0,55.0,75.0,Recommended,excel -> excel (exact); ms office -> excel (related),"₹380,000 - ₹450,000",,,"Experience & Skills: • Minimum 2 years in adult/teacher training (English/phonics preferred) • Basic Excel knowledge • Willingness to travel extensively Language: • Fluent in English & Tamil mandatory • Phonics training proficiency is an added advantage. Gender: Male Age: 24 - 30 years (preferable) Package: 3.8 – 4.5 LPA (32K–37K/month), based on experience Key Responsibilities: • Train teachers and support schools across Vellore region • Ensure effective programme delivery and student impact •…",https://www.adzuna.in/details/5640780810?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna,0.0
Adzuna,5846723305,Client & Customer Service Analyst,Deutsche Bank,"Vellore, Tamil Nadu",Vellore,"India, Tamil Nadu, Vellore",True,12.93975,79.3664,0.0,Very Nearby,20.0,21.7,41.7,Possible Match,excel -> accounting (related),,full_time,,"This job is with Deutsche Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Position Overview Role Description Ensuring DB Service Standards w.r.t. to Customer Service, Compliance and Corporate Security are adhered too. Ensure total Compliance of all audit guidelines set by External (RBI, NSDL) and Internal OR Auditors. Error Free Processing of transactions with in specified SLA’s. En…",https://www.adzuna.in/land/ad/5846723305?se=mGgEanSc8RGlrvMe-VN8Yg&utm_medium=api&utm_source=10d03a1b&v=EDA1F6966260F576633ECD2DC16A0DEC3E2E6852,Coordinates from Adzuna,0.0
Adzuna,5843171485,Client & Customer Service Analyst,Deutsche Bank,"Vellore, Tamil Nadu",Vellore,"India, Tamil Nadu, Vellore",True,12.93975,79.3664,0.0,Very Nearby,20.0,21.7,41.7,Possible Match,excel -> accounting (related),,full_time,,"Job Description: Job Title: Client & Customer Service Analyst Corporate Title: NCT Location: Vellor, India Role Description Ensuring DB Service Standards w.r.t. to Customer Service, Compliance and Corporate Security are adhered too. Ensure total Compliance of all audit guidelines set by External (RBI, NSDL) and Internal OR Auditors. Error Free Processing of transactions with in specified SLA’s. Ensure laid down processes are being followed; DB internal security standards are followed. What we’l…",https://www.adzuna.in/details/5843171485?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna,0.0
Adzuna,5533681499,Cluster Relationship Manager - Government Business & TASC| Vellore,CSB Bank,"Vellore, Tamil Nadu",Vellore,"India, Tamil Nadu, Vellore",True,12.93975,79.3664,0.0,Very Nearby,20.0,21.7,41.7,Possible Match,excel -> accounting (related),,full_time,,"Description Responsible for a) Managing & maintaining relationships with new & existing TASC & GB clients b) Opening TASC & GB accounts and Deliver an excellent service c) Generate leads for other banking products offered by the bank like Assets, insurance, TPP etc. Responsibilities Acquisition of HNI Govt & Institutional Banking clients eg: Municipal Corporations, State Government Departments, Central Government Departments, Govt. PF Trusts, Embassies, Gram Panchayats, Govt. Boards & Developme…",https://www.adzuna.in/details/5533681499?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna,0.0
Adzuna,5779392787,Collection Manager - Team Lead- Lending Collections,Paytm,"Vellore, Tamil Nadu",Vellore,"India, Tamil Nadu, Vellore",True,12.93975,79.3664,0.0,Very Nearby,20.0,21.7,41.7,Possible Match,excel -> accounting (related),,,,"About Us: Paytm is India's leading mobile payments and financial services distribution company. Pioneer of the mobile QR payments revolution in India, Paytm builds technologies that help small businesses with payments and commerce. Paytm's mission is to serve half a billion Indians and bring them to the mainstream economy with the help of technology. About the team: Liaison between the creditors and consumers. They are in charge of observing accounts to identify overdue payments, report collect…",https://www.adzuna.in/details/5779392787?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna,0.0
Adzuna,5819664894,Deputy Manager - SME MICRO BLSE,Bajaj Finserv,"Vellore, Tamil Nadu",Vellore,"India, Tamil Nadu, Vellore",True,12.93975,79.3664,0.0,Very Nearby,20.0,21.7,41.7,Possible Match,excel -> accounting (related),,full_time,,"Location Name: Vellore Job Purpose Creating a strong & compliant sales culture across the channel to drive acquisitions, profitability and employee development.Culture Anchor:Work Hard - Consistently puts in effort. plans and tracks daily progress to achieve targetsExecute with Rigor - Takes responsibility for meeting targets with focus and effortOwn It - Maintains honesty and fairness in all interactions in line with organization’s policiesAct with Integrity Duties And Responsibilities Managin…",https://www.adzuna.in/details/5819664894?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna,0.0
Adzuna,5834744519,Relationship Manager-COMMERCIAL VEHICLE-Marketing Branches Operations,Kotak Mahindra Bank,"Vellore, Tamil Nadu",Vellore,"India, Tamil Nadu, Vellore",True,12.93975,79.3664,0.0,Very Nearby,20.0,21.7,41.7,Possible Match,excel -> accounting (related),,full_time,,"Description We are looking for a service-oriented and sales-driven Relationship Manager to manage customer relationships and drive business in the Commercial Vehicle (CV) segment. The role involves handling customer service requests, selling liability and investment products, and enhancing customer value through cross-selling and referrals. The ideal candidate should have experience in financial services or banking, with a strong focus on customer engagement and sales performance. Responsibilit…",https://www.adzuna.in/details/5834744519?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna,0.0
Adzuna,5709667540,Relationship Officer-811-Digital Banking Kotak 811-Sales,Kotak Mahindra Bank,"Vellore, Tamil Nadu",Vellore,"India, Tamil Nadu, Vellore",True,12.93975,79.3664,0.0,Very Nearby,20.0,21.7,41.7,Possible Match,excel -> accounting (related),,full_time,,"Description As a Relationship Officer for Kotak 811 Digital Sales, you will be responsible for acquiring new customers through open market activities and driving sales of financial products. This is a high-energy, field-based role focused on building relationships, achieving sales targets, and expanding the bank’s digital footprint. Responsibilities Conduct 100% field-based customer acquisition for Savings and Current Accounts through: Canopy and Umbrella activities Cold calling Referrals and o…",https://www.adzuna.in/details/5709667540?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna,0.0
