source,source_job_id,job_title,company,location,location_area,searched_location,latitude,longitude,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,category_tag,description,created,redirect_url,company_address,location_display,coordinates_source,geocoded_display_name,location_status,distance_available,candidate_job_family,detected_job_family,family_score,skill_match_percentage,matched_skills,skill_gaps,final_universal_score
Adzuna,5830416661,Physician MD General Medicine or equivalent,Grace Kennett Foundation Hospital,"Madurai, Tamil Nadu","India, Tamil Nadu, Madurai",Madurai,9.91051,78.1158,,,0,,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"MBBS with MD (General Medicine) or equivalent qualification Valid medical registration Strong clinical judgment and a collaborative approach to patient care Genuine interest in working within a mission-driven healthcare institution If you're looking for a role that offers clinical depth, manageable hours, and a workplace with real institutional purpose, we'd love to hear from you.",2026-08-06T17:50:17Z,https://www.adzuna.in/land/ad/5830416661?se=TpmqX3Sc8RGlrvMe-VN8Yg&utm_medium=api&utm_source=10d03a1b&v=DAA341BFE8F0847FB49BFC1C0EE6F89A69C153C8,"India, Tamil Nadu, Madurai","Madurai, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,27.27,"MBBS, MD, General Medicine",Patient Care,56.36
Adzuna,5782107375,MBBS Doctor,Al Amani Human Resources Consultancy,"Koyilandi, Kozhikode","India, Kerala, Kozhikode, Koyilandi",Kozhikode,11.2293,75.8395,,,0,permanent,full_time,Healthcare & Nursing Jobs,healthcare-nursing-jobs,MBBS DOCTORS required for a reputed 5 Star Clinical Resort in Kerala: MBBS Degree with 3 years experience in hospitals / Clinics Valid Medical Council Registration Strong Diagnostic & patient care skills Comprehensive medical knowledge Empathetic communication Immediate joining preferred Benefits: Salary IRs. 1 Lakh/month based on experience Group health benefits and incentives Dynamic work environment Free Recruitment,2026-06-30T19:14:27Z,https://www.adzuna.in/details/5782107375?utm_medium=api&utm_source=10d03a1b,"India, Kerala, Kozhikode, Koyilandi","Koyilandi, Kozhikode",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,18.18,"MBBS, Doctor",Patient Care,50.91
Adzuna,5782690969,MD Dermatologist,Bodycraft,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",Vellore,12.93975,79.3664,,,0,,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,An aesthetic doctor diagnoses and treats a variety of skin conditions and performs cosmetic procedures to enhance patients' appearance. They provide personalized care and stay updated with the latest advancements in aesthetic medicine. Responsibilities Patient Consultation: Conduct thorough consultations to understand patients' aesthetic goals and medical history. Physical Examinations: Perform skin health assessments and physical examinations. Personalized Treatment Plans: Design treatment pla…,2026-07-01T07:18:33Z,https://www.adzuna.in/details/5782690969?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Vellore","Vellore, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,18.18,"MD, Doctor",,50.91
Adzuna,5818747306,Medical Coding fresher Job-Dentist 2025/2026 Freshers Wanted,I Skills Solutions,"Chennai, Tamil Nadu","India, Tamil Nadu, Chennai",Chennai,13.06041,80.24963,,,0,,,Scientific & QA Jobs,scientific-qa-jobs,CT HR PADMA - 8608995522 (Whats App) Position: Medical Coder Job Description: Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments) Codes using ICD-10 CM and CPT code books. Requirement: Knowledge in Anatomy and Physiology Good communication and interpersonal skills Basic Computer Skills No of vacancy: 500 Eligibility: Nursing GNM/DGNM Life science graduates Pharmacy Physician assistant…,2026-07-29T01:24:16Z,https://www.adzuna.in/land/ad/5818747306?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=51CCA91C40F802D7628CC02DAE4ED62B8F617A15,"India, Tamil Nadu, Chennai","Chennai, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,9.09,Diagnosis,Medical Coding,45.45
Adzuna,4801380584,Senior Specialist.Cardiology.MIMS Hospital Calicut,Aster DM Healthcare,"Kozhikode, Kerala","India, Kerala, Kozhikode",Kozhikode,,,,,0,permanent,full_time,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Description Responsible for performing procedures like coronary and peripheral angiography and angioplasty, balloon valvotomy, permanent and temporary pacemaker implantation, cardiac synchronization therapy, aortic interventions. Conducting regular outpatient clinic Responsible for the organization of total patient management under care in a safe, compassionate and ethical manner and in compliance with Medical Ethics and Professional Conduct for Doctors.",2024-07-31T03:01:17Z,https://www.adzuna.in/details/4801380584?utm_medium=api&utm_source=10d03a1b,"India, Kerala, Kozhikode","Kozhikode, Kerala",,,Location available; coordinates unavailable,False,Healthcare,Healthcare,40,9.09,Doctor,,45.45
Adzuna,5797506905,Marketing Executive (Medical Representative),Tablets India,"Salem, Tamil Nadu","India, Tamil Nadu, Salem",Salem,11.56305,77.99725,,,0,,,Sales Jobs,sales-jobs,"We are looking for a dynamic and results-oriented Marketing Executive (Medical Representative) to join our sales and marketing team. The Medical Representative will be responsible for promoting and selling the company's pharmaceutical products to healthcare professionals, including doctors, pharmacists, and hospitals. The ideal candidate will have a strong understanding of the pharmaceutical industry, excellent communication skills, and the ability to build long-term relationships with healthca…",2026-07-12T07:20:01Z,https://www.adzuna.in/details/5797506905?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Salem","Salem, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,9.09,Doctor,,45.45
Adzuna,5837120885,Medical Coding fresher Job- Life science Graduates 2025/2026 Freshers Wanted,I Skills Solutions,"Chennai, Tamil Nadu","India, Tamil Nadu, Chennai",Salem,11.56305,77.99725,,,0,,,Scientific & QA Jobs,scientific-qa-jobs,CT HR Kaaru- 8190882200 (Whats App) Position: Medical Coder Job Description: Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments) Codes using ICD-10 CM and CPT code books. Requirement: Knowledge in Anatomy and Physiology Good communication and interpersonal skills Basic Computer Skills No of vacancy: 500 Eligibility: Nursing GNM/DGNM Life science graduates Pharmacy Physician assistant …,2026-08-12T00:14:30Z,https://www.adzuna.in/land/ad/5837120885?se=IpgZZHSc8RGlrvMe-VN8Yg&utm_medium=api&utm_source=10d03a1b&v=77046BA78973C478BE014C4A25A831E6407FEFDF,"India, Tamil Nadu, Chennai","Chennai, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,9.09,Diagnosis,Medical Coding,45.45
Adzuna,5822232532,Medical Sales Representative,Pfizer,"Trivandrum, Thiruvananthapuram","India, Kerala, Thiruvananthapuram, Trivandrum",Thiruvananthapuram,8.49239,76.93365,,,0,,,Sales Jobs,sales-jobs,"Pfizer is Hiring – Health Care Executive ( Trivandrum ) We are looking for an experienced Pharma Sales Professiona l. We are looking for an experienced Pharma Sales Professional with strong Cardio & Diabetic therapy exposure  Qualificati on: B SC/ B.Pharm / Life Science s  Experie nce: 2–10 years in Pharma Sales If you have solid Cardio & Diabetic doctor cov erage and a passion for scientific customer engagement, we’d love to connec t  Appl y Now: Tejaswini.Desai@pfizer. com  Co ntact: 9821593…",2026-07-31T15:27:15Z,https://www.adzuna.in/land/ad/5822232532?se=YAF-cXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=B0BC1E4FB63B7C5877E41C4E8AB1EC8E638EAFB2,"India, Kerala, Thiruvananthapuram, Trivandrum","Trivandrum, Thiruvananthapuram",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,9.09,Doctor,,45.45
Adzuna,5727116563,Consultant - Ophthalmologist,Dr Agarwal,"Tirunelveli, Tamil Nadu","India, Tamil Nadu, Tirunelveli",Tirunelveli,8.7256,77.69625,,,0,contract,,Consultancy Jobs,consultancy-jobs,Job Description Looking for a Medical Retina Consultant for Trichy. Interested Doctors please feel to apply for call at 91-9445003890 and send resumes to jobs@dragarwal.com Key Responsibilities: Looking for a Medical Retina Consultant for Trichy. Interested Doctors please feel to apply for call at 91-9445003890 and send resumes to jobs@dragarwal.com,2026-05-13T02:02:20Z,https://www.adzuna.in/details/5727116563?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Tirunelveli","Tirunelveli, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,9.09,Doctor,,45.45
Adzuna,5834562184,Project Coordinator,Qure.ai,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",Vellore,12.93975,79.3664,,,0,contract,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"About Qure.AI: Qure.AI is an equal opportunity employer. Qure.ai is a leading Healthcare Artificial Intelligence (AI) company disrupting the ‘status quo’ by enhancing diagnostic imaging and improving health outcomes with the assistance of machine-supported tools. Qure.ai taps deep learning technology to provide an automated interpretation of radiology exams like X-rays, and CT scans for time and resource-strapped medical imaging professionals, enabling faster diagnosis and speed to treatment. Q…",2026-08-09T16:00:52Z,https://www.adzuna.in/details/5834562184?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Vellore","Vellore, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,9.09,Diagnosis,,45.45
